id;atribuicao;status;validacao;status_val;obs;area_km2;st_astext
1966;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7506701.9862726405,507488.646550982 7506701.9862726405,507488.646550982 7506301.9862726405,506788.646550982 7506301.9862726405,506788.646550982 7506701.9862726405)))
1967;analista 3;finalizado;NULL;NULL;NULL;0.23785128542629427;MULTIPOLYGON(((507275.8111041496 7503822.95011376,507307.17604285054 7503773.204439657,507426.6064867942 7503679.972851782,507476.156628819 7503599.609154314,507480.94483842846 7503509.339706078,507484.4396429372 7503501.9862726405,506788.646550982 7503501.9862726405,506788.646550982 7503901.9862726405,507270.28981278447 7503901.9862726405,507275.8111041496 7503822.95011376)))
1968;analista 3;finalizado;NULL;NULL;NULL;0.15692911926844458;MULTIPOLYGON(((507020.66801121866 7504233.637490145,507022.41582899564 7504210.808859669,507022.6079530499 7504208.300228603,507023.816286946 7504192.517505381,507036.18139858794 7504176.908219956,507062.16471872746 7504174.49666496,507126.45980457537 7504225.496239321,507155.72843588324 7504233.287530827,507185.35099792463 7504222.077343861,507206.5027223142 7504193.716415873,507206.50415230583 7504187.128583331,507206.52805625624 7504077.996526528,507221.34932072373 7504055.066194948,507240.1320424537 7504026.006633153,507264.2248183869 7503988.805548303,507264.515017223 7503984.651292345,507270.28981278447 7503901.9862726405,506788.646550982 7503901.9862726405,506788.646550982 7504301.9862726405,507015.43494910566 7504301.9862726405,507020.66801121866 7504233.637490145)))
1969;analista 3;finalizado;NULL;NULL;NULL;0.0888839632198208;MULTIPOLYGON(((506990.94545197824 7504660.773415952,506989.8145895647 7504583.822397053,507026.0600607215 7504504.842449,507030.6803283758 7504473.314635216,507027.23842857365 7504443.995421514,507013.6070915536 7504325.859835682,507015.43494910566 7504301.9862726405,506788.646550982 7504301.9862726405,506788.646550982 7504701.9862726405,507006.77961001405 7504701.9862726405,506990.94545197824 7504660.773415952)))
1970;analista 3;finalizado;NULL;NULL;NULL;0.12023536302884476;MULTIPOLYGON(((507208.9928614042 7505062.169807364,507162.73289311456 7505019.807722314,507102.74694166915 7504964.875607582,507075.2046428497 7504925.384282104,507046.29166926537 7504883.7304689605,507033.91769436374 7504772.620444523,507022.77309548506 7504743.613823861,507006.77961001405 7504701.9862726405,506788.646550982 7504701.9862726405,506788.646550982 7505101.9862726405,507222.55001854274 7505101.9862726405,507208.9928614042 7505062.169807364)))
1971;analista 3;finalizado;NULL;NULL;NULL;0.14625023801772133;MULTIPOLYGON(((507069.080071499 7511838.512490863,507104.1786912606 7511755.100884009,507190.8143763341 7511677.2347201975,507261.9544028894 7511513.044097618,507268.7898897238 7511501.9862726405,506788.646550982 7511501.9862726405,506788.646550982 7511901.9862726405,507022.0864084288 7511901.9862726405,507069.080071499 7511838.512490863)))
1972;analista 3;finalizado;NULL;NULL;NULL;0.07110701131902271;MULTIPOLYGON(((506937.608062725 7512239.765184047,506972.5570973744 7512122.460618973,506983.83136313554 7511971.151021969,506997.4203691114 7511935.302398575,507022.0864084288 7511901.9862726405,506788.646550982 7511901.9862726405,506788.646550982 7512301.9862726405,506906.3412127555 7512301.9862726405,506937.608062725 7512239.765184047)))
1973;analista 3;finalizado;NULL;NULL;NULL;0.012095798913490333;MULTIPOLYGON(((506864.61415618035 7512385.0231915,506906.3412127555 7512301.9862726405,506788.646550982 7512301.9862726405,506788.646550982 7512491.785539175,506864.61415618035 7512385.0231915)))
1974;analista 3;finalizado;NULL;NULL;NULL;0.2780920120296198;MULTIPOLYGON(((507471.1363568736 7509980.836432623,507470.10330572724 7509936.785837373,507474.55191767385 7509912.975913266,507485.209035188 7509901.9862726405,506788.646550982 7509901.9862726405,506788.646550982 7510301.9862726405,507488.646550982 7510301.9862726405,507488.646550982 7510052.681612556,507471.1363568736 7509980.836432623)))
1975;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7510701.9862726405,507488.646550982 7510701.9862726405,507488.646550982 7510301.9862726405,506788.646550982 7510301.9862726405,506788.646550982 7510701.9862726405)))
1976;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7511101.9862726405,507488.646550982 7511101.9862726405,507488.646550982 7510701.9862726405,506788.646550982 7510701.9862726405,506788.646550982 7511101.9862726405)))
1977;analista 3;finalizado;NULL;NULL;NULL;0.24827637424920518;MULTIPOLYGON(((507342.2295741584 7511383.182272784,507483.0300579892 7511252.664959557,507488.646550982 7511236.733620429,507488.646550982 7511101.9862726405,506788.646550982 7511101.9862726405,506788.646550982 7511501.9862726405,507268.7898897238 7511501.9862726405,507342.2295741584 7511383.182272784)))
1978;analista 3;finalizado;NULL;NULL;NULL;0.19974756623046877;MULTIPOLYGON(((507994.908858266 7508544.469315277,508036.18516686175 7508301.9862726405,507488.646550982 7508301.9862726405,507488.646550982 7508701.9862726405,507896.3574481624 7508701.9862726405,507994.908858266 7508544.469315277)))
1979;analista 3;finalizado;NULL;NULL;NULL;0.14705676164216483;MULTIPOLYGON(((507849.3816614884 7509038.197160305,507858.3380009259 7508785.00337049,507874.139242053 7508737.498136152,507896.3574481624 7508701.9862726405,507488.646550982 7508701.9862726405,507488.646550982 7509101.9862726405,507835.4101884592 7509101.9862726405,507849.3816614884 7509038.197160305)))
